Nazwisko_aktualne,Liczba
NOWAK,100906
KOWALSKA,68223
WIŚNIEWSKA,54710
WÓJCIK,49137
KOWALCZYK,48636
KAMIŃSKA,47101
LEWANDOWSKA,46640
ZIELIŃSKA,45010
SZYMAŃSKA,43894
DĄBROWSKA,43748
WOŹNIAK,43545
KOZŁOWSKA,37265
MAZUR,35246
JANKOWSKA,34185
KWIATKOWSKA,33207
WOJCIECHOWSKA,32887
KRAWCZYK,31623
KACZMAREK,30633
PIOTROWSKA,30393
GRABOWSKA,28965
PAWŁOWSKA,27556
MICHALSKA,27151
KRÓL,27106
ZAJĄC,26819
WIECZOREK,25102
JABŁOŃSKA,25052
WRÓBEL,24713
NOWAKOWSKA,24584
MAJEWSKA,24406
OLSZEWSKA,23799
JAWORSKA,23472
ADAMCZYK,23447
MALINOWSKA,23314
STĘPIEŃ,23057
DUDEK,22799
GÓRSKA,22670
NOWICKA,22532
WITKOWSKA,22117
PAWLAK,21998
SIKORA,21961
WALCZAK,21689
RUTKOWSKA,21626
MICHALAK,21027
SZEWCZYK,20838
OSTROWSKA,20800
BARAN,20426
TOMASZEWSKA,19953
ZALEWSKA,19468
WRÓBLEWSKA,19404
PIETRZAK,19348
JASIŃSKA,19115
MARCINIAK,18985
SADOWSKA,18753
JAKUBOWSKA,18728
ZAWADZKA,18531
DUDA,18425
WŁODARCZYK,17729
CHMIELEWSKA,17712
BORKOWSKA,17617
BĄK,17605
WILK,17313
SOKOŁOWSKA,17194
SZCZEPAŃSKA,16952
SAWICKA,16760
LIS,16635
KUCHARSKA,16291
KALINOWSKA,16086
MACIEJEWSKA,16017
MAZUREK,15960
KUBIAK,15887
WYSOCKA,15879
KOŁODZIEJ,15353
CZARNECKA,15135
KAŹMIERCZAK,14994
URBAŃSKA,14262
KRUPA,14100
SIKORSKA,14049
SOBCZAK,14045
KRAJEWSKA,13963
GŁOWACKA,13956
ZAKRZEWSKA,13865
WASILEWSKA,13651
ZIÓŁKOWSKA,13641
LASKOWSKA,13624
KOZAK,13547
GAJEWSKA,13431
SZULC,13418
MRÓZ,13411
MAKOWSKA,13368
BRZEZIŃSKA,13169
PRZYBYLSKA,13159
KACZMARCZYK,13142
BARANOWSKA,13075
SZYMCZAK,12995
ADAMSKA,12922
BŁASZCZYK,12810
BOROWSKA,12757
GÓRECKA,12688
KANIA,12651
SZCZEPANIAK,12649
JANIK,12563
LESZCZYŃSKA,12558
CZERWIŃSKA,12489
CHOJNACKA,12450
LIPIŃSKA,12336
WESOŁOWSKA,12323
MIKOŁAJCZYK,12318
ANDRZEJEWSKA,12307
KOWALEWSKA,12262
MUCHA,12061
JAROSZ,11928
CIEŚLAK,11893
ZIĘBA,11883
KONIECZNA,11784
MARKOWSKA,11780
KOWALIK,11723
KOŁODZIEJCZYK,11722
KOZIOŁ,11720
MUSIAŁ,11534
BRZOZOWSKA,11462
DOMAŃSKA,11337
ORŁOWSKA,11162
TOMCZYK,11136
PAWLIK,11118
PIĄTEK,11090
NOWACKA,11086
KRUK,11052
KOPEĆ,11050
TOMCZAK,11036
ŻAK,10970
KUREK,10945
KOT,10920
POLAK,10897
CIESIELSKA,10893
MARKIEWICZ,10888
WAWRZYNIAK,10828
WOLSKA,10803
WÓJTOWICZ,10792
STANKIEWICZ,10608
JASTRZĘBSKA,10375
SOWA,10294
URBANIAK,10205
CZAJKOWSKA,10201
KARPIŃSKA,10185
KLIMEK,10105
STASIAK,10094
WIERZBICKA,10081
NAWROCKA,10073
PIASECKA,10056
ŁUCZAK,10055
DZIEDZIC,9941
BIELECKA,9784
SOSNOWSKA,9771
BEDNAREK,9748
MILEWSKA,9738
JANICKA,9731
GAJDA,9683
STEFAŃSKA,9675
MADEJ,9546
