Nazwisko_aktualne,Liczba
NOWAK,99310
KOWALSKI,67218
WIŚNIEWSKI,53616
WÓJCIK,48197
KOWALCZYK,47472
KAMIŃSKI,46201
LEWANDOWSKI,44891
ZIELIŃSKI,44235
WOŹNIAK,42937
SZYMAŃSKI,42841
DĄBROWSKI,41949
KOZŁOWSKI,36640
MAZUR,34589
JANKOWSKI,33453
KWIATKOWSKI,32235
WOJCIECHOWSKI,31865
KRAWCZYK,30627
KACZMAREK,30065
PIOTROWSKI,29556
GRABOWSKI,28259
ZAJĄC,27164
PAWŁOWSKI,26867
KRÓL,26792
MICHALSKI,26323
WRÓBEL,24927
WIECZOREK,24422
JABŁOŃSKI,24283
NOWAKOWSKI,23872
MAJEWSKI,23809
OLSZEWSKI,23452
DUDEK,22845
JAWORSKI,22788
STĘPIEŃ,22761
MALINOWSKI,22722
ADAMCZYK,22653
GÓRSKI,21997
PAWLAK,21965
SIKORA,21876
NOWICKI,21804
WITKOWSKI,21416
RUTKOWSKI,21256
WALCZAK,21134
BARAN,21003
MICHALAK,20496
OSTROWSKI,20294
SZEWCZYK,20287
TOMASZEWSKI,19441
ZALEWSKI,19147
WRÓBLEWSKI,18885
PIETRZAK,18626
JASIŃSKI,18589
DUDA,18350
MARCINIAK,18290
SADOWSKI,18201
BĄK,18134
ZAWADZKI,18101
JAKUBOWSKI,17985
WILK,17476
CHMIELEWSKI,17264
BORKOWSKI,17023
WŁODARCZYK,16929
SOKOŁOWSKI,16633
SZCZEPAŃSKI,16585
SAWICKI,16501
LIS,16423
KUCHARSKI,15883
KALINOWSKI,15711
WYSOCKI,15626
MAZUREK,15573
KUBIAK,15481
MACIEJEWSKI,15446
KOŁODZIEJ,15030
KAŹMIERCZAK,14663
CZARNECKI,14540
KONIECZNY,14022
SOBCZAK,14016
KRUPA,13969
GŁOWACKI,13760
URBAŃSKI,13690
MRÓZ,13673
KOZAK,13547
ZAKRZEWSKI,13535
WASILEWSKI,13526
KRAJEWSKI,13503
LASKOWSKI,13382
SIKORSKI,13337
ZIÓŁKOWSKI,13188
GAJEWSKI,13120
SZULC,13097
MAKOWSKI,13028
KACZMARCZYK,12871
BRZEZIŃSKI,12810
BARANOWSKI,12805
PRZYBYLSKI,12656
KANIA,12598
SZYMCZAK,12583
JANIK,12547
BOROWSKI,12521
ADAMSKI,12498
BŁASZCZYK,12464
GÓRECKI,12358
SZCZEPANIAK,12350
CHOJNACKI,12127
KOZIOŁ,12084
MUCHA,12083
LESZCZYŃSKI,12076
LIPIŃSKI,12066
ANDRZEJEWSKI,12023
KOWALEWSKI,12021
CZERWIŃSKI,11945
WESOŁOWSKI,11883
MIKOŁAJCZYK,11858
ZIĘBA,11736
JAROSZ,11687
CIEŚLAK,11602
KOWALIK,11489
MARKOWSKI,11486
MUSIAŁ,11484
KOŁODZIEJCZYK,11319
KOPEĆ,11248
BRZOZOWSKI,11168
NOWACKI,11081
PIĄTEK,11056
ŻAK,11009
DOMAŃSKI,10979
PAWLIK,10939
ORŁOWSKI,10922
KUREK,10893
KOT,10876
WÓJTOWICZ,10821
CIESIELSKI,10811
TOMCZYK,10805
TOMCZAK,10787
KRUK,10730
WAWRZYNIAK,10638
POLAK,10525
WOLSKI,10464
MARKIEWICZ,10361
SOWA,10306
STASIAK,10145
JASTRZĘBSKI,10061
KARPIŃSKI,10027
STANKIEWICZ,10005
URBANIAK,9980
KLIMEK,9842
PIASECKI,9840
ŁUCZAK,9791
CZAJKOWSKI,9772
WIERZBICKI,9740
NAWROCKI,9728
GAJDA,9679
DZIEDZIC,9505
BIELECKI,9503
BEDNAREK,9458
STEFAŃSKI,9453
MADEJ,9445
MILEWSKI,9385
JANICKI,9338
SOSNOWSKI,9260
KOWAL,9257
SKIBA,9256
LEŚNIAK,9231
MAJ,9184
JÓŹWIAK,9142
URBAN,9141
MAJCHRZAK,9130
SOCHA,8965
ŚLIWIŃSKI,8958
MAŁECKI,8946
MAREK,8922
BEDNARCZYK,8901
DOMAGAŁA,8868
KASPRZAK,8725
DOBROWOLSKI,8720
WRONA,8695
PAJĄK,8628
MICHALIK,8624
MATUSZEWSKI,8600
RATAJCZAK,8541
OLEJNICZAK,8433
ŚWIĄTEK,8409
ORZECHOWSKI,8388
WILCZYŃSKI,8362
ROMANOWSKI,8352
KUROWSKI,8333
OLEJNIK,8208
RYBAK,8205
ŁUKASIK,8189
ROGOWSKI,8175
BUKOWSKI,8143
MAZURKIEWICZ,8143
GRZELAK,8135
SROKA,8088
OWCZAREK,8076
SOBOLEWSKI,8050
KOSIŃSKI,7963
KĘDZIERSKI,7925
BARAŃSKI,7904
ZYCH,7891
BEDNARZ,7846
MARSZAŁEK,7826
SOBCZYK,7725
MATUSIAK,7698
SKOWROŃSKI,7687
MARCINKOWSKI,7680
CHRZANOWSKI,7667
ŚWIDERSKI,7653
LISOWSKI,7651
KOZIEŁ,7628
KASPRZYK,7573
BEDNARSKI,7559
BIAŁEK,7552
PLUTA,7465
KWIECIEŃ,7449
WITEK,7445
GRZYBOWSKI,7443
KUCZYŃSKI,7437
PALUCH,7404
CHMIEL,7391
CZAJKA,7378
TUREK,7378
JĘDRZEJEWSKI,7372
JANISZEWSKI,7371
MUSZYŃSKI,7352
MARCZAK,7347
MORAWSKI,7342
MAŁEK,7271
MARZEC,7211
CZAJA,7200
ŚLIWA,7192
ŻUKOWSKI,7191
KACZOR,7185
KUBICKI,7158
PIEKARSKI,7135
RAK,7128
CZECH,7096
PRZYBYSZ,7063
SZCZĘSNY,7063
OSIŃSKI,7031
KRZEMIŃSKI,6998
GOŁĘBIEWSKI,6993
STEFANIAK,6988
JANOWSKI,6978
KULESZA,6952
BIERNACKI,6934
LECH,6889
SZYDŁOWSKI,6874
SMOLIŃSKI,6873
BANACH,6864
SERAFIN,6859
KUJAWA,6850
MICHAŁOWSKI,6825
GÓRA,6817
LEWICKI,6809
STANISZEWSKI,6789
KACPRZAK,6782
CIEŚLIK,6776
MURAWSKI,6763
RUDNICKI,6762
POPŁAWSKI,6736
STACHOWIAK,6721
DĘBSKI,6703
PIETRZYK,6682
DROZD,6681
ŻUREK,6668
PIĄTKOWSKI,6627
GÓRKA,6614
NIEMIEC,6609
BANAŚ,6606
ZAWADA,6597
GÓRNY,6578
KARCZEWSKI,6576
MATYSIAK,6567
ŻURAWSKI,6562
PODGÓRSKI,6553
SOWIŃSKI,6525
KLIMCZAK,6513
GOŁĘBIOWSKI,6503
CZYŻ,6489
ROSIŃSKI,6467
BIENIEK,6394
KUŚ,6383
GODLEWSKI,6372
GRUSZKA,6359
AUGUSTYNIAK,6345
KRAWIEC,6322
SKRZYPCZAK,6311
GROCHOWSKI,6298
PTAK,6279
PANEK,6268
GIL,6231
PRZYBYŁA,6229
RÓŻAŃSKI,6168
KONOPKA,6163
KULIK,6161
WINIARSKI,6148
KOMOROWSKI,6125
SŁOWIK,6092
SIWEK,6083
ZAREMBA,6074
CYBULSKI,6040
LEŚNIEWSKI,6019
SZCZEPANIK,6016
GRZYB,5985
KŁOS,5976
KRZYŻANOWSKI,5937
MIELCZAREK,5935
CICHOŃ,5930
TOKARSKI,5924
ZARZYCKI,5916
GRACZYK,5907
MŁYNARCZYK,5886
KACZYŃSKI,5854
MIKOŁAJCZAK,5845
BUCZEK,5828
STAŃCZYK,5825
SZOSTAK,5804
WĘGRZYN,5794
BIERNAT,5791
SZYMCZYK,5787
CICHOCKI,5783
STRZELECKI,5770
JUREK,5762
SZCZYGIEŁ,5745
SKOWRON,5732
BARTKOWIAK,5718
MAĆKOWIAK,5709
BOGUSZ,5682
GĄSIOR,5680
JANUS,5679
CIEŚLA,5665
GAWRON,5657
FILIPIAK,5640
MELNYK,5632
KUCHARCZYK,5627
KALETA,5600
NIEWIADOMSKI,5600
KOSTRZEWA,5576
KULA,5562
JANIAK,5559
KUBIK,5559
KSIĄŻEK,5547
RAKOWSKI,5546
RZEPKA,5540
SIENKIEWICZ,5534
BAGIŃSKI,5530
PAŁKA,5489
GAWLIK,5488
RÓŻYCKI,5451
ANTCZAK,5434
ZARĘBA,5428
FRĄCZEK,5418
BARTCZAK,5397
MALEC,5395
TRZCIŃSKI,5367
ŻEBROWSKI,5327
ROGALSKI,5319
BANASIAK,5316
DŁUGOSZ,5300
MIKULSKI,5289
KRÓLIKOWSKI,5288
HAJDUK,5266
ROGALA,5251
ROJEK,5231
TKACZYK,5220
LACH,5211
KISIEL,5200
GRZEGORCZYK,5194
BOREK,5177
GAWROŃSKI,5157
DOBOSZ,5152
STEC,5152
TROJANOWSKI,5151
MALISZEWSKI,5108
WĄSIK,5103
RYBICKI,5099
ŚLUSARCZYK,5088
RADOMSKI,5085
WITCZAK,5078
WOLNY,5072
MIKA,5033
LIPSKI,5009
ZABOROWSKI,5005
KMIECIK,4998
WALKOWIAK,4979
BIAŁAS,4970
GRZESIAK,4951
PAWELEC,4945
GAŁĄZKA,4933
KACZOROWSKI,4928
FRĄCKOWIAK,4927
SOKÓŁ,4925
BOGUCKI,4920
KARWOWSKI,4909
WNUK,4908
BOCHENEK,4901
FRANKOWSKI,4890
CICHY,4870
ZYGMUNT,4868
ŻMUDA,4843
KWAŚNIEWSKI,4834
PASTERNAK,4821
NAWROT,4812
WIĘCKOWSKI,4812
JUSZCZAK,4791
WÓJCICKI,4783
DUDZIŃSKI,4756
GAWEŁ,4755
MROCZEK,4755
PIETRAS,4748
JANAS,4746
LASOTA,4699
